instance,mean_disp_over_rcheb,diam_over_rcheb,relC_of_mean,mean_relC,relC_rand_tail,converged_frac,mean_sweeps,max_sweeps
0,2.8680413279695443,9.711255704154603,0.6707466898305368,0.2789849779336314,0.3284878636544425,0.9666666666666667,8764.9,20000
1,2.694000594068982,6.597437303997663,0.7739217249496935,0.31696453990990425,0.4567364911319981,1.0,7156.1,16490
2,2.3360298479239425,6.05036702427754,0.8250637187085458,0.33408998559448994,0.4896084375499611,1.0,5944.6,15273
3,1.9977392736659405,4.69073557299961,0.8082700815201246,0.35979670321487245,0.4259797099538093,0.9666666666666667,6688.6,20000
4,1.978686128719123,5.265397895768538,0.8559991353866351,0.37919916139189314,0.40572557536181736,0.9666666666666667,7079.7,20000
5,2.338991271570264,7.018972117511793,0.6545210512262822,0.3404936506641396,0.4448830932205333,0.9333333333333333,6691.433333333333,20000
6,2.167224764346381,5.69954265302515,0.7910409368025412,0.37145289679968013,0.3507056671056552,1.0,5516.566666666667,17036
7,2.5003137449495734,7.062040294951812,0.6713905787822524,0.34314039314555805,0.3721652860826106,0.9666666666666667,7206.666666666667,20000
8,2.593273555002142,7.400002151383328,0.698750372472084,0.29488122236372544,0.5087456867989593,0.9666666666666667,7717.733333333334,20000
9,2.3919092459481694,6.17633262046449,0.7515769930415187,0.3575973479945728,0.4422868344960622,0.9666666666666667,6659.533333333334,20000
